538 Percent,Occurrences,Wins,Percent Wins,difference
3%,4,1,25.0%,22.0%
4%,1,0,0.0%,4.0%
5%,6,1,16.666666666666664%,11.666666666666664%
6%,6,0,0.0%,6.0%
7%,13,3,23.076923076923077%,16.076923076923077%
8%,8,1,12.5%,4.5%
9%,14,4,28.57142857142857%,19.57142857142857%
10%,13,0,0.0%,10.0%
11%,11,2,18.181818181818183%,7.181818181818183%
12%,17,4,23.52941176470588%,11.52941176470588%
13%,22,6,27.27272727272727%,14.27272727272727%
14%,16,0,0.0%,14.0%
15%,24,1,4.166666666666666%,10.833333333333334%
16%,25,4,16.0%,0.0%
17%,27,10,37.03703703703704%,20.037037037037038%
18%,25,5,20.0%,2.0%
19%,23,6,26.08695652173913%,7.086956521739129%
20%,30,10,33.33333333333333%,13.333333333333329%
21%,25,7,28.000000000000004%,7.0000000000000036%
22%,22,11,50.0%,28.0%
23%,23,7,30.434782608695656%,7.434782608695656%
24%,27,7,25.925925925925924%,1.9259259259259238%
25%,21,10,47.61904761904761%,22.619047619047613%
26%,20,8,40.0%,14.0%
27%,22,8,36.36363636363637%,9.363636363636367%
28%,26,5,19.230769230769234%,8.769230769230766%
29%,20,2,10.0%,19.0%
30%,33,10,30.303030303030305%,0.30303030303030454%
31%,26,8,30.76923076923077%,0.23076923076922995%
32%,24,9,37.5%,5.5%
33%,25,10,40.0%,7.0%
34%,32,11,34.375%,0.375%
35%,25,9,36.0%,1.0%
36%,23,9,39.130434782608695%,3.1304347826086953%
37%,34,19,55.88235294117647%,18.88235294117647%
38%,22,7,31.818181818181817%,6.181818181818183%
39%,27,11,40.74074074074074%,1.7407407407407405%
40%,38,15,39.473684210526315%,0.526315789473685%
41%,40,18,45.0%,4.0%
42%,36,17,47.22222222222222%,5.222222222222221%
43%,25,7,28.000000000000004%,14.999999999999996%
44%,19,11,57.89473684210527%,13.894736842105267%
45%,19,11,57.89473684210527%,12.894736842105267%
46%,29,16,55.172413793103445%,9.172413793103445%
47%,29,9,31.03448275862069%,15.96551724137931%
48%,38,23,60.526315789473685%,12.526315789473685%
49%,24,9,37.5%,11.5%
50%,32,16,50.0%,0.0%
51%,24,15,62.5%,11.5%
52%,38,15,39.473684210526315%,12.526315789473685%
53%,29,19,65.51724137931035%,12.517241379310349%
54%,29,13,44.827586206896555%,9.172413793103445%
55%,17,7,41.17647058823529%,13.82352941176471%
56%,21,9,42.857142857142854%,13.142857142857146%
57%,25,18,72.0%,15.0%
58%,36,16,44.44444444444444%,13.555555555555557%
59%,40,22,55.00000000000001%,3.999999999999993%
60%,37,20,54.054054054054056%,5.945945945945944%
61%,28,15,53.57142857142857%,7.428571428571431%
62%,21,14,66.66666666666666%,4.666666666666657%
63%,35,16,45.714285714285715%,17.285714285714285%
64%,21,13,61.904761904761905%,2.095238095238095%
65%,26,15,57.692307692307686%,7.307692307692314%
66%,33,22,66.66666666666666%,0.6666666666666572%
67%,24,13,54.166666666666664%,12.833333333333336%
68%,25,16,64.0%,4.0%
69%,26,18,69.23076923076923%,0.2307692307692264%
70%,33,21,63.63636363636363%,6.363636363636367%
71%,20,18,90.0%,19.0%
72%,25,20,80.0%,8.0%
73%,23,13,56.52173913043478%,16.47826086956522%
74%,20,12,60.0%,14.0%
75%,21,11,52.38095238095239%,22.619047619047613%
76%,26,19,73.07692307692307%,2.923076923076934%
77%,23,16,69.56521739130434%,7.434782608695656%
78%,23,12,52.17391304347826%,25.826086956521742%
79%,25,18,72.0%,7.0%
80%,30,19,63.33333333333333%,16.66666666666667%
81%,23,17,73.91304347826086%,7.08695652173914%
82%,25,19,76.0%,6.0%
83%,27,17,62.96296296296296%,20.037037037037038%
84%,25,20,80.0%,4.0%
85%,24,23,95.83333333333334%,10.833333333333343%
86%,16,16,100.0%,14.0%
87%,22,16,72.72727272727273%,14.272727272727266%
88%,17,11,64.70588235294117%,23.294117647058826%
89%,11,9,81.81818181818183%,7.181818181818173%
90%,13,13,100.0%,10.0%
91%,14,10,71.42857142857143%,19.57142857142857%
92%,8,7,87.5%,4.5%
93%,13,10,76.92307692307693%,16.076923076923066%
94%,6,6,100.0%,6.0%
95%,6,5,83.33333333333334%,11.666666666666657%
96%,1,1,100.0%,4.0%
97%,4,3,75.0%,22.0%
